Sales Person,Country,Product,Date,Amount,Boxes Shipped,Price_Per_Box,Year,Month_Name,Quarter
Andria Kimpton,Australia,Manuka Honey Choco,2022-03-30,9744.0,377,25.85,2022,March,Q1
Mallorie Waber,India,Raspberry Choco,2022-03-02,1400.0,2,700.0,2022,March,Q1
Jehu Rudeforth,USA,Orange Choco,2022-07-28,364.0,170,2.14,2022,July,Q3
Kaine Padly,New Zealand,70% Dark Bites,2022-03-24,7231.0,38,190.29,2022,March,Q1
Curtice Advani,Australia,After Nines,2022-08-11,63.0,105,0.6,2022,August,Q3
Husein Augar,UK,Almond Choco,2022-05-17,8309.0,166,50.05,2022,May,Q2
Kaine Padly,Canada,Choco Coated Almonds,2022-05-18,3164.0,164,19.29,2022,May,Q2
Roddy Speechley,UK,Peanut Butter Cubes,2022-08-17,5691.0,171,33.28,2022,August,Q3
Ches Bonnell,New Zealand,Eclairs,2022-04-04,490.0,49,10.0,2022,April,Q2
Brien Boise,India,85% Dark Bars,2022-08-09,18032.0,205,87.96,2022,August,Q3
Brien Boise,New Zealand,Organic Choco Syrup,2022-01-17,637.0,313,2.04,2022,January,Q1
Andria Kimpton,Canada,White Choc,2022-02-14,4067.0,29,140.24,2022,February,Q1
Gigi Bohling,New Zealand,Orange Choco,2022-05-16,8204.0,307,26.72,2022,May,Q2
Ches Bonnell,Canada,Smooth Sliky Salty,2022-03-16,9870.0,121,81.57,2022,March,Q1
Husein Augar,Canada,70% Dark Bites,2022-01-31,5131.0,285,18.0,2022,January,Q1
Barr Faughny,Canada,Organic Choco Syrup,2022-03-10,1141.0,205,5.57,2022,March,Q1
Oby Sorrel,UK,Organic Choco Syrup,2022-06-30,7980.0,157,50.83,2022,June,Q2
Van Tuxwell,New Zealand,Eclairs,2022-03-01,5229.0,182,28.73,2022,March,Q1
Mallorie Waber,UK,Drinking Coco,2022-05-27,3423.0,100,34.23,2022,May,Q2
Oby Sorrel,UK,Milk Bars,2022-07-11,6468.0,223,29.0,2022,July,Q3
Karlen McCaffrey,New Zealand,Mint Chip Choco,2022-03-02,4326.0,61,70.92,2022,March,Q1
Jehu Rudeforth,USA,Raspberry Choco,2022-03-04,7154.0,133,53.79,2022,March,Q1
Kelci Walkden,UK,85% Dark Bars,2022-06-23,3997.0,228,17.53,2022,June,Q2
Kelci Walkden,USA,Almond Choco,2022-01-27,5180.0,233,22.23,2022,January,Q1
Marney O'Breen,Canada,Orange Choco,2022-01-14,2723.0,425,6.41,2022,January,Q1
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,952.0,24,39.67,2022,July,Q3
Brien Boise,Canada,Smooth Sliky Salty,2022-05-13,5691.0,495,11.5,2022,May,Q2
Barr Faughny,Canada,Baker's Choco Chips,2022-02-03,10969.0,170,64.52,2022,February,Q1
Brien Boise,India,Smooth Sliky Salty,2022-05-27,5964.0,26,229.38,2022,May,Q2
Jan Morforth,Australia,Drinking Coco,2022-02-18,2821.0,24,117.54,2022,February,Q1
Brien Boise,India,Spicy Special Slims,2022-01-28,1302.0,33,39.45,2022,January,Q1
Van Tuxwell,UK,Eclairs,2022-06-29,5474.0,109,50.22,2022,June,Q2
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,4179.0,276,15.14,2022,January,Q1
Jehu Rudeforth,UK,After Nines,2022-06-27,1946.0,164,11.87,2022,June,Q2
Barr Faughny,Canada,White Choc,2022-03-29,4291.0,1,4291.0,2022,March,Q1
Gunar Cockshoot,India,Organic Choco Syrup,2022-06-03,7196.0,160,44.98,2022,June,Q2
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,1939.0,98,19.79,2022,March,Q1
Mallorie Waber,India,Eclairs,2022-04-12,10437.0,46,226.89,2022,April,Q2
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,6916.0,259,26.7,2022,January,Q1
Karlen McCaffrey,UK,50% Dark Bites,2022-04-06,3647.0,310,11.76,2022,April,Q2
Kaine Padly,Australia,50% Dark Bites,2022-08-02,8995.0,78,115.32,2022,August,Q3
Gigi Bohling,Australia,Eclairs,2022-04-12,7252.0,136,53.32,2022,April,Q2
Oby Sorrel,India,Drinking Coco,2022-07-21,16380.0,130,126.0,2022,July,Q3
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,9660.0,24,402.5,2022,March,Q1
Husein Augar,India,Peanut Butter Cubes,2022-05-09,4522.0,5,904.4,2022,May,Q2
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,329.0,109,3.02,2022,August,Q3
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,3458.0,294,11.76,2022,July,Q3
Brien Boise,India,70% Dark Bites,2022-04-14,4641.0,413,11.24,2022,April,Q2
Jehu Rudeforth,Canada,White Choc,2022-01-25,4627.0,136,34.02,2022,January,Q1
Andria Kimpton,Australia,Almond Choco,2022-04-25,3192.0,175,18.24,2022,April,Q2
Dotty Strutley,Canada,After Nines,2022-01-17,252.0,237,1.06,2022,January,Q1
Karlen McCaffrey,USA,Eclairs,2022-08-15,868.0,125,6.94,2022,August,Q3
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,210.0,16,13.12,2022,June,Q2
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,7007.0,135,51.9,2022,June,Q2
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,5845.0,91,64.23,2022,February,Q1
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,1372.0,614,2.23,2022,February,Q1
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,8428.0,216,39.02,2022,January,Q1
Camilla Castle,UK,Mint Chip Choco,2022-05-26,4977.0,317,15.7,2022,May,Q2
Brien Boise,USA,70% Dark Bites,2022-04-14,1694.0,21,80.67,2022,April,Q2
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,4326.0,154,28.09,2022,August,Q3
Mallorie Waber,Australia,Eclairs,2022-08-22,9527.0,222,42.91,2022,August,Q3
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766.0,157,68.57,2022,July,Q3
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,1288.0,27,47.7,2022,April,Q2
Kelci Walkden,Australia,Almond Choco,2022-05-30,4879.0,350,13.94,2022,May,Q2
Ches Bonnell,USA,Milk Bars,2022-07-21,2408.0,157,15.34,2022,July,Q3
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,3094.0,468,6.61,2022,August,Q3
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,7231.0,130,55.62,2022,June,Q2
Oby Sorrel,India,85% Dark Bars,2022-07-05,8981.0,130,69.08,2022,July,Q3
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,7.0,518,0.01,2022,April,Q2
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372.0,105,13.07,2022,August,Q3
Jan Morforth,UK,50% Dark Bites,2022-01-12,5250.0,293,17.92,2022,January,Q1
Gunar Cockshoot,Canada,White Choc,2022-08-11,7560.0,15,504.0,2022,August,Q3
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,5012.0,384,13.05,2022,January,Q1
Husein Augar,UK,Baker's Choco Chips,2022-04-29,3038.0,135,22.5,2022,April,Q2
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099.0,92,11.95,2022,July,Q3
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,7413.0,4,1853.25,2022,March,Q1
Madelene Upcott,UK,70% Dark Bites,2022-02-16,5397.0,239,22.58,2022,February,Q1
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,2303.0,33,69.79,2022,January,Q1
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,1141.0,518,2.2,2022,January,Q1
Beverie Moffet,India,Eclairs,2022-06-09,10325.0,147,70.24,2022,June,Q2
Andria Kimpton,India,Eclairs,2022-05-16,2149.0,84,25.58,2022,May,Q2
Gigi Bohling,UK,85% Dark Bars,2022-06-23,12362.0,94,131.51,2022,June,Q2
Roddy Speechley,UK,Raspberry Choco,2022-01-28,12635.0,194,65.13,2022,January,Q1
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,2443.0,216,11.31,2022,July,Q3
Barr Faughny,Canada,Drinking Coco,2022-04-18,6237.0,247,25.25,2022,April,Q2
Oby Sorrel,USA,Milk Bars,2022-06-14,1736.0,79,21.97,2022,June,Q2
Oby Sorrel,UK,Orange Choco,2022-04-15,7315.0,237,30.86,2022,April,Q2
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,4935.0,63,78.33,2022,May,Q2
Gigi Bohling,India,White Choc,2022-04-13,1393.0,172,8.1,2022,April,Q2
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,3381.0,408,8.29,2022,August,Q3
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,2933.0,233,12.59,2022,August,Q3
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,3836.0,59,65.02,2022,April,Q2
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,8022.0,123,65.22,2022,August,Q3
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,371.0,229,1.62,2022,January,Q1
Kelci Walkden,Canada,After Nines,2022-01-13,16702.0,198,84.35,2022,January,Q1
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,13258.0,32,414.31,2022,May,Q2
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,2058.0,236,8.72,2022,February,Q1
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,10192.0,67,152.12,2022,May,Q2
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,7140.0,438,16.3,2022,February,Q1
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,9835.0,167,58.89,2022,May,Q2
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,5775.0,135,42.78,2022,June,Q2
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,749.0,148,5.06,2022,March,Q1
Camilla Castle,Canada,Orange Choco,2022-02-17,7770.0,54,143.89,2022,February,Q1
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502.0,64,85.97,2022,July,Q3
Oby Sorrel,UK,70% Dark Bites,2022-03-16,6223.0,181,34.38,2022,March,Q1
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,3507.0,114,30.76,2022,August,Q3
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600.0,181,30.94,2022,January,Q1
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,721.0,151,4.77,2022,May,Q2
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,6615.0,137,48.28,2022,June,Q2
Barr Faughny,USA,White Choc,2022-05-05,7420.0,163,45.52,2022,May,Q2
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164.0,84,37.67,2022,March,Q1
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,9114.0,140,65.1,2022,February,Q1
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,5404.0,187,28.9,2022,May,Q2
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,3990.0,169,23.61,2022,January,Q1
Ches Bonnell,UK,85% Dark Bars,2022-06-28,14924.0,12,1243.67,2022,June,Q2
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,7091.0,194,36.55,2022,July,Q3
Roddy Speechley,USA,Milk Bars,2022-05-16,2807.0,252,11.14,2022,May,Q2
Jan Morforth,India,After Nines,2022-03-14,6496.0,168,38.67,2022,March,Q1
Gunar Cockshoot,USA,After Nines,2022-08-15,3738.0,261,14.32,2022,August,Q3
Ches Bonnell,India,Orange Choco,2022-02-16,1190.0,256,4.65,2022,February,Q1
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,8379.0,43,194.86,2022,June,Q2
Barr Faughny,Australia,Raspberry Choco,2022-05-27,9268.0,100,92.68,2022,May,Q2
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,1029.0,98,10.5,2022,June,Q2
Wilone O'Kielt,India,Eclairs,2022-02-25,3549.0,76,46.7,2022,February,Q1
Wilone O'Kielt,India,After Nines,2022-08-04,12026.0,262,45.9,2022,August,Q3
Kelci Walkden,India,99% Dark & Pure,2022-06-28,2303.0,244,9.44,2022,June,Q2
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,13405.0,12,1117.08,2022,April,Q2
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,14763.0,113,130.65,2022,July,Q3
Kaine Padly,New Zealand,Eclairs,2022-01-20,12894.0,48,268.62,2022,January,Q1
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,8302.0,131,63.37,2022,February,Q1
Curtice Advani,UK,Drinking Coco,2022-07-12,455.0,174,2.61,2022,July,Q3
Kelci Walkden,India,Raspberry Choco,2022-06-16,8183.0,254,32.22,2022,June,Q2
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,1645.0,284,5.79,2022,April,Q2
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143.0,67,46.91,2022,February,Q1
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,5873.0,249,23.59,2022,May,Q2
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298.0,313,36.1,2022,April,Q2
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,12425.0,167,74.4,2022,June,Q2
Oby Sorrel,UK,White Choc,2022-06-27,1715.0,286,6.0,2022,June,Q2
Barr Faughny,India,After Nines,2022-07-29,8190.0,109,75.14,2022,July,Q3
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,4991.0,166,30.07,2022,June,Q2
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491.0,85,182.25,2022,January,Q1
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096.0,142,35.89,2022,March,Q1
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063.0,104,67.91,2022,January,Q1
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275.0,115,19.78,2022,June,Q2
Barr Faughny,Canada,Orange Choco,2022-06-30,7602.0,18,422.33,2022,June,Q2
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200.0,80,52.5,2022,July,Q3
Oby Sorrel,India,Spicy Special Slims,2022-06-08,11137.0,88,126.56,2022,June,Q2
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,3388.0,212,15.98,2022,August,Q3
Kaine Padly,Australia,After Nines,2022-04-08,6832.0,306,22.33,2022,April,Q2
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.0,181,18.99,2022,August,Q3
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301.0,65,4.63,2022,August,Q3
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869.0,158,11.83,2022,January,Q1
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,17465.0,271,64.45,2022,August,Q3
Madelene Upcott,USA,Almond Choco,2022-05-31,10143.0,24,422.62,2022,May,Q2
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626.0,10,362.6,2022,July,Q3
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,3346.0,304,11.01,2022,March,Q1
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321.0,88,71.83,2022,July,Q3
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,9345.0,133,70.26,2022,August,Q3
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,15008.0,165,90.96,2022,March,Q1
Kelci Walkden,New Zealand,White Choc,2022-04-13,7609.0,150,50.73,2022,April,Q2
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332.0,180,57.4,2022,February,Q1
Mallorie Waber,India,White Choc,2022-07-26,819.0,213,3.85,2022,July,Q3
Brien Boise,UK,Drinking Coco,2022-01-27,5754.0,133,43.26,2022,January,Q1
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28.0,446,0.06,2022,April,Q2
Oby Sorrel,USA,Almond Choco,2022-05-19,6440.0,141,45.67,2022,May,Q2
Husein Augar,India,Eclairs,2022-02-09,4956.0,58,85.45,2022,February,Q1
Brien Boise,UK,Spicy Special Slims,2022-05-25,2352.0,58,40.55,2022,May,Q2
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906.0,76,51.39,2022,January,Q1
Beverie Moffet,India,White Choc,2022-07-04,1813.0,296,6.12,2022,July,Q3
Ches Bonnell,India,Almond Choco,2022-04-13,11788.0,73,161.48,2022,April,Q2
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768.0,119,48.47,2022,January,Q1
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401.0,78,30.78,2022,April,Q2
Camilla Castle,USA,Eclairs,2022-06-10,4515.0,392,11.52,2022,June,Q2
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794.0,51,211.65,2022,August,Q3
Van Tuxwell,India,After Nines,2022-06-27,13706.0,207,66.21,2022,June,Q2
Husein Augar,India,Orange Choco,2022-06-30,4361.0,40,109.02,2022,June,Q2
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122.0,100,101.22,2022,August,Q3
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994.0,57,17.44,2022,August,Q3
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268.0,42,54.0,2022,August,Q3
Gigi Bohling,Australia,Orange Choco,2022-03-09,574.0,156,3.68,2022,March,Q1
Kelci Walkden,UK,Drinking Coco,2022-04-20,1792.0,23,77.91,2022,April,Q2
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,4844.0,539,8.99,2022,June,Q2
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938.0,158,5.94,2022,February,Q1
Brien Boise,Australia,White Choc,2022-08-25,4879.0,22,221.77,2022,August,Q3
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107.0,73,124.75,2022,February,Q1
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187.0,27,451.37,2022,May,Q2
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670.0,64,88.59,2022,June,Q2
Gigi Bohling,USA,Milk Bars,2022-06-16,476.0,133,3.58,2022,June,Q2
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,2681.0,149,17.99,2022,March,Q1
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533.0,434,3.53,2022,March,Q1
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765.0,85,114.88,2022,January,Q1
Beverie Moffet,Canada,Drinking Coco,2022-07-05,994.0,118,8.42,2022,July,Q3
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,3318.0,299,11.1,2022,March,Q1
Mallorie Waber,Canada,Almond Choco,2022-05-12,4214.0,35,120.4,2022,May,Q2
Oby Sorrel,USA,Drinking Coco,2022-03-11,7714.0,44,175.32,2022,March,Q1
Brien Boise,New Zealand,Eclairs,2022-07-11,4690.0,299,15.69,2022,July,Q3
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,13062.0,62,210.68,2022,August,Q3
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,12488.0,200,62.44,2022,February,Q1
Curtice Advani,USA,After Nines,2022-04-13,14147.0,235,60.2,2022,April,Q2
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49.0,363,0.13,2022,February,Q1
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199.0,68,149.99,2022,March,Q1
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,11389.0,26,438.04,2022,April,Q2
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,3584.0,200,17.92,2022,April,Q2
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.0,264,47.28,2022,March,Q1
Kaine Padly,USA,Spicy Special Slims,2022-06-13,2107.0,175,12.04,2022,June,Q2
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603.0,352,24.44,2022,February,Q1
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483.0,183,40.89,2022,April,Q2
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381.0,417,8.11,2022,February,Q1
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,2030.0,146,13.9,2022,August,Q3
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,6559.0,158,41.51,2022,April,Q2
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822.0,168,64.42,2022,January,Q1
Kaine Padly,UK,After Nines,2022-01-21,18697.0,176,106.23,2022,January,Q1
Kaine Padly,Canada,After Nines,2022-08-22,5845.0,172,33.98,2022,August,Q3
Kaine Padly,UK,Drinking Coco,2022-01-27,2317.0,224,10.34,2022,January,Q1
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150.0,68,149.26,2022,February,Q1
Dotty Strutley,USA,Raspberry Choco,2022-01-03,3437.0,46,74.72,2022,January,Q1
Karlen McCaffrey,USA,White Choc,2022-08-24,4592.0,2,2296.0,2022,August,Q3
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,5691.0,417,13.65,2022,February,Q1
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,4158.0,109,38.15,2022,February,Q1
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,5684.0,81,70.17,2022,March,Q1
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693.0,350,1.98,2022,June,Q2
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546.0,142,3.85,2022,April,Q2
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263.0,264,16.15,2022,July,Q3
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,1036.0,20,51.8,2022,June,Q2
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,13846.0,421,32.89,2022,January,Q1
Beverie Moffet,UK,50% Dark Bites,2022-02-09,2499.0,271,9.22,2022,February,Q1
Van Tuxwell,UK,Almond Choco,2022-06-06,10689.0,204,52.4,2022,June,Q2
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,5768.0,235,24.54,2022,August,Q3
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,2226.0,46,48.39,2022,January,Q1
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,10262.0,15,684.13,2022,April,Q2
Barr Faughny,UK,Milk Bars,2022-03-02,3864.0,430,8.99,2022,March,Q1
Van Tuxwell,Canada,Drinking Coco,2022-06-15,4900.0,709,6.91,2022,June,Q2
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250.0,47,111.7,2022,February,Q1
Husein Augar,UK,After Nines,2022-07-05,3507.0,380,9.23,2022,July,Q3
Barr Faughny,India,Mint Chip Choco,2022-01-12,7413.0,465,15.94,2022,January,Q1
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.0,96,84.95,2022,March,Q1
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,2478.0,188,13.18,2022,May,Q2
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471.0,202,12.23,2022,July,Q3
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,1666.0,106,15.72,2022,February,Q1
Andria Kimpton,India,Orange Choco,2022-05-30,301.0,421,0.71,2022,May,Q2
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,8400.0,27,311.11,2022,April,Q2
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139.0,45,136.42,2022,February,Q1
Kelci Walkden,Australia,Drinking Coco,2022-05-04,1288.0,60,21.47,2022,May,Q2
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,7077.0,77,91.91,2022,June,Q2
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,2317.0,464,4.99,2022,July,Q3
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,63.0,60,1.05,2022,June,Q2
Jan Morforth,UK,Almond Choco,2022-07-06,9744.0,157,62.06,2022,July,Q3
Husein Augar,India,Raspberry Choco,2022-06-15,9954.0,154,64.64,2022,June,Q2
Dotty Strutley,India,Mint Chip Choco,2022-04-14,1260.0,239,5.27,2022,April,Q2
Camilla Castle,India,Drinking Coco,2022-08-08,469.0,163,2.88,2022,August,Q3
Marney O'Breen,UK,Drinking Coco,2022-03-29,973.0,28,34.75,2022,March,Q1
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,3647.0,76,47.99,2022,July,Q3
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455.0,96,4.74,2022,February,Q1
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,2520.0,156,16.15,2022,May,Q2
Van Tuxwell,India,Eclairs,2022-07-21,10500.0,106,99.06,2022,July,Q3
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952.0,235,33.84,2022,August,Q3
Kaine Padly,USA,85% Dark Bars,2022-06-22,483.0,259,1.86,2022,June,Q2
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,4872.0,126,38.67,2022,July,Q3
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,7756.0,85,91.25,2022,August,Q3
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,5446.0,132,41.26,2022,June,Q2
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,6594.0,91,72.46,2022,March,Q1
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,1470.0,167,8.8,2022,April,Q2
Curtice Advani,Canada,Eclairs,2022-05-06,721.0,203,3.55,2022,May,Q2
Roddy Speechley,India,Drinking Coco,2022-05-31,4494.0,11,408.55,2022,May,Q2
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674.0,295,9.06,2022,January,Q1
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658.0,77,8.55,2022,March,Q1
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127.0,319,3.53,2022,February,Q1
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364.0,196,37.57,2022,January,Q1
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818.0,102,66.84,2022,March,Q1
Roddy Speechley,Canada,Drinking Coco,2022-05-17,6776.0,312,21.72,2022,May,Q2
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.0,55,274.53,2022,August,Q3
Madelene Upcott,Canada,Milk Bars,2022-04-26,3612.0,82,44.05,2022,April,Q2
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710.0,260,14.27,2022,April,Q2
Oby Sorrel,Canada,Eclairs,2022-05-19,6111.0,591,10.34,2022,May,Q2
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,2702.0,24,112.58,2022,January,Q1
Mallorie Waber,New Zealand,After Nines,2022-05-04,483.0,228,2.12,2022,May,Q2
Roddy Speechley,Canada,White Choc,2022-04-05,5887.0,268,21.97,2022,April,Q2
Andria Kimpton,India,After Nines,2022-01-17,952.0,68,14.0,2022,January,Q1
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647.0,173,61.54,2022,March,Q1
Dotty Strutley,Australia,White Choc,2022-07-05,6055.0,93,65.11,2022,July,Q3
Oby Sorrel,Canada,Orange Choco,2022-04-27,8757.0,338,25.91,2022,April,Q2
Kaine Padly,Canada,Almond Choco,2022-08-12,6055.0,73,82.95,2022,August,Q3
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721.0,251,2.87,2022,March,Q1
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,8589.0,229,37.51,2022,May,Q2
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,11781.0,91,129.46,2022,May,Q2
Brien Boise,USA,Raspberry Choco,2022-01-12,672.0,194,3.46,2022,January,Q1
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,12558.0,403,31.16,2022,March,Q1
